"label","LonX","LatY"
"P9",-73.94249893,40.83224043
"P9",-73.94036011,40.83378667
"P9",-73.92516675,40.83630572
"P9",-73.93726258,40.82916466
"P9",-73.94351366,40.83593313
"P9",-73.93988786,40.83579394
"P9",-73.93812926,40.82293296
"P9",-73.93726258,40.82916466
"P9",-73.9458565,40.83855987
"P9",-73.93738281,40.83569073
"P9",-73.94113609,40.83917889
"P9",-73.93639683,40.84954119
"P9",-73.93035513,40.83450471
"P9",-73.93738281,40.83569073
"P9",-73.94163351,40.84343666
"P9",-73.93828417,40.85090855
"P10",-73.94053456,40.76342292
"P10",-73.92378849,40.76122609
"P10",-73.92231768,40.76721945
"P10",-73.9269028,40.75737884
"P10",-73.92425289,40.76472456
"P10",-73.92744327,40.77284478
"P10",-73.92987945,40.77360955
"P10",-73.93181711,40.77421423
"P10",-73.92051816,40.77590393
"P10",-73.94086199,40.75811159
"P10",-73.924157,40.75396114
"P10",-73.93158049,40.76170595
"P10",-73.92231768,40.76721945
"P10",-73.92730373,40.77052656
"P10",-73.9342742,40.77499412
"P10",-73.93105722,40.75497417
"P10",-73.9221954,40.76047534
"P10",-73.93398092,40.76282598
"P10",-73.92266322,40.76396631
"P10",-73.92590027,40.77226209
"P10",-73.92427202,40.76824158
"P10",-73.92220362,40.76922327
"P10",-73.9342742,40.77499412
"P10",-73.92698824,40.76272543
"P10",-73.93582071,40.76863091
"P10",-73.9313176,40.76912321
"P10",-73.91977765,40.76615218
"P10",-73.92033084,40.76811353
"P10",-73.92538015,40.76196969
"P10",-73.93493511,40.76701302
"P10",-73.92266322,40.76396631
"P10",-73.93343259,40.77302762
"P10",-73.92602208,40.7757304
"P10",-73.91094175,40.76885247
"P10",-73.93224924,40.76463928
"P10",-73.91948388,40.7624491
"P10",-73.92899235,40.77214955
"P10",-73.93343259,40.77302762
"P10",-73.92530123,40.75662875
"P10",-73.92217338,40.77607987
"P10",-73.9221954,40.76047534
"P11",-73.92782088,40.76761629
"P11",-73.92457256,40.76926521
"P11",-73.93626772,40.7738775
"P11",-73.92830784,40.77454777
"P11",-73.92830784,40.77454777
"P11",-73.94053456,40.76342292
"P11",-73.93036546,40.76449075
"P11",-73.93582071,40.76863091
"P11",-73.92782088,40.76761629
"P11",-73.92231768,40.76721945
"P11",-73.92108064,40.76319941
"P11",-73.91285779,40.77435984
"P11",-73.92378849,40.76122609
"P11",-73.92231768,40.76721945
"P11",-73.92108064,40.76319941
"P11",-73.92602208,40.7757304
"P11",-73.9269028,40.75737884
"P11",-73.92425289,40.76472456
"P11",-73.92744327,40.77284478
"P11",-73.92987945,40.77360955
"P11",-73.93181711,40.77421423
"P11",-73.92051816,40.77590393
"P11",-73.93748931,40.76020197
"P11",-73.92538015,40.76196969
